time_s,pc0,pc1,pc2,pc3,i0,v0,i1,v1,i2,v2,i3,v3,i4,v4,i5,v5,i6,v6
22.379835,0,0,0,0,0.832873,5.027348,0.010449,1.581522,0.006612,1.510308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.379923,0,0,0,0,0.838170,5.029649,0.010449,1.582291,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380011,0,0,0,0,0.824525,5.028882,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380099,0,0,0,0,0.837528,5.027348,0.010449,1.583061,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380186,0,0,0,0,0.836244,5.028882,0.010449,1.579983,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380274,0,0,0,0,0.846197,5.028115,0.010449,1.582291,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380362,0,0,0,0,0.835281,5.025814,0.010449,1.580752,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380450,0,0,0,0,0.838170,5.028115,0.010449,1.582291,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380537,0,0,0,0,0.837688,5.026581,0.010449,1.579983,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380625,0,0,0,0,0.849728,5.028882,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380713,0,0,0,0,0.839775,5.027348,0.010449,1.579983,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380801,0,0,0,0,0.854544,5.020444,0.010449,1.583830,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380888,0,0,0,0,0.838170,5.024280,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.380976,0,0,0,0,0.840739,5.025047,0.010449,1.577674,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381064,0,0,0,0,0.845073,5.023513,0.010449,1.578444,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381152,0,0,0,0,0.845715,5.030416,0.010449,1.579983,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381239,0,0,0,0,0.845715,5.030416,0.010449,1.581522,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381327,0,0,0,0,0.832552,5.023513,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381415,0,0,0,0,0.843146,5.023513,0.010449,1.580752,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381503,0,0,0,0,0.852778,5.027348,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381590,0,0,0,0,0.846357,5.021211,0.010449,1.579983,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381678,0,0,0,0,0.843628,5.028882,0.010449,1.583061,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381766,0,0,0,0,0.844431,5.028115,0.010449,1.579983,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381854,0,0,0,0,0.838170,5.029649,0.010449,1.583061,0.006612,1.510308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.381941,0,0,0,0,0.850370,5.025047,0.010449,1.583061,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382029,0,0,0,0,0.846518,5.022745,0.010449,1.579983,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382117,0,0,0,0,0.838812,5.029649,0.010449,1.579983,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382205,0,0,0,0,0.866584,5.031951,0.010449,1.583061,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382293,0,0,0,0,0.839615,5.028882,0.010449,1.580752,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382380,0,0,0,0,0.847962,5.022745,0.010449,1.579213,0.006612,1.510308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382468,0,0,0,0,0.859520,5.030416,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382556,0,0,0,0,0.855026,5.026581,0.010449,1.580752,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382651,0,0,0,0,0.838812,5.029649,0.010449,1.579983,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382739,0,0,0,0,0.829180,5.029649,0.010449,1.581522,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382827,0,0,0,0,0.822438,5.028882,0.010449,1.581522,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.382914,0,0,0,0,0.820833,5.028882,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383003,0,0,0,0,0.827094,5.032718,0.010449,1.581522,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383090,0,0,0,0,0.809917,5.030416,0.010449,1.581522,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383178,0,0,0,0,0.807188,5.031951,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383266,0,0,0,0,0.806546,5.032718,0.010449,1.581522,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383354,0,0,0,0,0.800606,5.031951,0.010449,1.581522,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383441,0,0,0,0,0.807188,5.032718,0.010449,1.579983,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383529,0,0,0,0,0.805422,5.035019,0.010449,1.583061,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383617,0,0,0,0,0.790653,5.028882,0.010449,1.583830,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383705,0,0,0,0,0.806867,5.028115,0.010449,1.583061,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383792,0,0,0,0,0.827415,5.030416,0.010449,1.580752,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383880,0,0,0,0,0.826130,5.026581,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.383968,0,0,0,0,0.830786,5.029649,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384056,0,0,0,0,0.842986,5.029649,0.010449,1.581522,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384144,0,0,0,0,0.852618,5.027348,0.010449,1.580752,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384231,0,0,0,0,0.848604,5.026581,0.010449,1.580752,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384319,0,0,0,0,0.855668,5.028115,0.010449,1.581522,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.384407,0,0,0,0,0.865139,5.021978,0.010449,1.583830,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
